Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
ms_263,263,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.19087956232802036,0.0011558036385915973,0.0017435508871265653
ms_34,34,manuscript,1.0,1.0,2.0,0.005681818181818182,6.475006475006475e-05,0.274860290819378,0.06597872467399028,0.001692205846017647
ms_47,47,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.2018297787659201,0.0354398194733076,0.0018904018032690519
ms_210,210,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_80,80,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17371627527877528,0.00040920894026713644,0.002753223414289151
ms_292,292,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1787326810889645,0.0006955942763751479,0.0018855705288862222
ms_226,226,manuscript,0.0,0.0,0.0,0.0,0.0,0.0,1.968618543085319e-58,0.00167794128685817
ms_264,264,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.21383884429709768,0.0019060759389517943,0.0017096403072125632
ms_192,192,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_64,64,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_140,140,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.17157603369423186,0.003236265604185986,0.0019330296137805123
ms_40,40,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.17544887854927227,0.0009530379694758971,0.004064798088429697
ms_299,299,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_99,99,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_194,194,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0009226884226884227,0.2194550975944607,0.014296039229733963,0.0020885977605204567
ms_19,19,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.21207494520073836,0.0015639632827367915,0.0017096403072125632
ms_259,259,manuscript,1.0,1.0,2.0,0.005681818181818182,5.665630665630666e-05,0.18394612748286387,0.0005236034527336699,0.0019015420090422262
ms_22,22,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1744416041943443,0.00015414824336389853,0.0031313459810545343
ms_63,63,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_1,1,manuscript,1.0,1.0,2.0,0.011363636363636364,0.0019101269101269103,0.21845105466429,0.020576424857885377,0.0033383889019152056
ms_286,286,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_201,201,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1531058697372257,0.0004666939348177926,0.0019454017710983638
ms_281,281,manuscript,0.0,0.0,0.0,0.0,0.0,0.0,1.968618543085319e-58,0.00167794128685817
ms_43,43,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1787326810889645,0.0006955942763751479,0.0018855705288862222
ms_269,269,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.16587102413715318,0.0006640814569098698,0.0024314300431598577
ms_249,249,manuscript,1.0,1.0,2.0,0.005681818181818182,0.00021853146853146856,0.22552639246718195,0.011891153519467379,0.0017726553342964965
ms_70,70,manuscript,1.0,1.0,2.0,0.008522727272727272,0.00012140637140637142,0.23471215845250257,0.020838980232332365,0.0017976054180493927
ms_65,65,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_74,74,manuscript,1.0,1.0,2.0,0.005681818181818182,0.00012140637140637142,0.22282007575757576,0.0263848068638348,0.00239723271993797
ms_89,89,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.18599338544038044,0.0011418900130001762,0.00167794128685817
ms_282,282,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_167,167,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18840479911858155,0.0007476439944464031,0.0017774614670405678
ms_110,110,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19120715883087167,0.006485382278878501,0.00239723271993797
ms_273,273,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.17157603369423186,0.003236265604185986,0.0019330296137805123
ms_187,187,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_66,66,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_136,136,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_169,169,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.2452165177082639,0.06694870668818537,0.001692205846017647
ms_293,293,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17371627527877528,0.00040920894026713644,0.002753223414289151
ms_216,216,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_108,108,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_95,95,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_33,33,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_11,11,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.22971141830677913,0.03335935750771321,0.001700923076615105
ms_122,122,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_7,7,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
